Stock_,Open,High,Low,Close,Adj Close,Volume,Stock_Name
12/7/2017,214.100006,221.25,214.100006,219.860001,219.860001,901700,ANET
12/8/2017,223.360001,228.964996,222.059998,222.789993,222.789993,775500,ANET
12/11/2017,223,224.990005,219.369995,223.690002,223.690002,576800,ANET
12/12/2017,222.190002,223.300003,217.110001,218.25,218.25,706300,ANET
12/13/2017,218.440002,226.240005,218.429993,225.130005,225.130005,791200,ANET
12/14/2017,226.779999,229.179993,225.25,226.720001,226.720001,782700,ANET
12/15/2017,228.300003,232.149994,227.300003,231.029999,231.029999,1064100,ANET
12/18/2017,235,235.664993,231.399994,235.389999,235.389999,661700,ANET
12/19/2017,235.25,238.339996,235,236,236,830400,ANET
12/20/2017,237.5,238.356995,231.490005,234.149994,234.149994,576300,ANET
12/21/2017,235.389999,238.399994,235.112,235.960007,235.960007,607700,ANET
12/22/2017,236.860001,236.860001,233.369995,236.550003,236.550003,652200,ANET
12/26/2017,236.220001,236.699997,233,235.660004,235.660004,427500,ANET
12/27/2017,235.660004,240.490005,235.660004,239.5,239.5,390500,ANET
12/28/2017,239.899994,241.5,239.190002,240.639999,240.639999,416400,ANET
12/29/2017,240.649994,241.300003,235.429993,235.580002,235.580002,415700,ANET
1/2/2018,235.580002,238.630005,226.759995,231.029999,231.029999,872200,ANET
1/3/2018,232,235.75,231.559998,235.600006,235.600006,558600,ANET
1/4/2018,236.25,237.830002,231.410004,232.690002,232.690002,837000,ANET
1/5/2018,234.449997,238.460007,234.419998,236.770004,236.770004,505400,ANET
1/8/2018,239.240005,251.949997,238.509995,251.059998,251.059998,1394700,ANET
1/9/2018,251.059998,252.330002,246.5,249.979996,249.979996,706800,ANET
1/10/2018,250.139999,255.925003,249.399994,252.279999,252.279999,632100,ANET
1/11/2018,253.460007,261.809998,253.460007,260.790009,260.790009,1084500,ANET
1/12/2018,261.070007,262.839996,257.100006,259.029999,259.029999,824100,ANET
1/16/2018,261.649994,262.839996,250.164993,252.770004,252.770004,904800,ANET
1/17/2018,255.910004,264.609985,255.490005,262.809998,262.809998,919200,ANET
1/18/2018,263.480011,268.119995,263,265.190002,265.190002,642500,ANET
1/19/2018,267.869995,271.869995,267.100006,270.839996,270.839996,681700,ANET
1/22/2018,271,275.850006,268.690002,275.679993,275.679993,747600,ANET
1/23/2018,270.920013,276.210999,268.200012,273.140015,273.140015,942200,ANET
1/24/2018,274.809998,276.869995,269.269989,273.140015,273.140015,712100,ANET
1/25/2018,275.600006,279.600006,274.51001,276.76001,276.76001,527300,ANET
1/26/2018,279.459991,283.5,276.859985,283.5,283.5,496300,ANET
1/29/2018,283.5,284.76001,277.356995,277.98999,277.98999,734900,ANET
1/30/2018,273.079987,276.579987,252.009995,275.230011,275.230011,1359700,ANET
1/31/2018,276.51001,276.998993,269.040009,275.820007,275.820007,935600,ANET
2/1/2018,273.200012,276.970001,273.109985,275,275,834400,ANET
